Setcode,"Card Name ""JP (EN)""",Image,Type,Rarity,Color,LIFE/HP,Tags,Text
hBP01-001,"天音かなた
(Amane Kanata)",,Oshi holomem,OSR,White,5,,"Oshi Skill holo Power -3: Squish Squish
[1/Turn]Set the opponent's center holomem's remaining HP to 50.

SP Oshi Skill holo Power -2: I'll squish you!
[1/Game]During this turn, one of your holomem gets Arts+50. Then, if that holomem's color is white, it gets Arts+50."
hBP01-002,"七詩ムメイ
(Nanashi Mumei)",,Oshi holomem,OSR,White,5,,"Oshi Skill holo Power -2: Guardian of Civilization
[1/Turn]Usable if your holomem with #Promise would take Damage from the opponent during the opponent's turn:1 of those holomem takes -50 Damage.

SP Oshi Skill holo Power -2: Amazing Drawing
[1/Game]Reveal 1 event from your deck, and add it to hand. Then, shuffle the deck."
hBP01-003,"アキ・ローゼンタール
(Aki Rosenthal)",,Oshi holomem,OSR,Green,5,,"Oshi Skill holo Power -2: Survival Power
[1/Turn]Reveal 1 <Stone Axe> from your deck, and attach it to your green holomem. Then, shuffle the deck.

SP Oshi Skill holo Power -2: Song of the Earth
[1/Game]Restore all HP of your green center holomem."
hBP01-004,"兎田ぺこら
(Usada Pekora)",,Oshi holomem,OSR,Green,6,,"Oshi Skill holo Power -2: Little Wild Rabbits~
[1/Turn]Usable if your holomem is downed during the opponent's turn:Reattach all green cheers from 1 of your downed holomem divided as you choose to your other holomems.

SP Oshi Skill holo Power -3: Lucky Rabbit
[1/Game]During this turn, regard all numbers on the faces of your dice as 6."
hBP01-005,"鷹嶺ルイ
(Takane Lui)",,Oshi holomem,OSR,Red,5,,"Oshi Skill holo Power -X: Female Commanding Officer
[1/Turn]Usable if you would archive cards from hand by your red holomem's ability:You may archive 1 of your holo Power instead for each hand card to be archived.

SP Oshi Skill holo Power -2: Hawkeye
[1/Game]During your opponent's next turn, your opponent's center holomem and collab holomem cannot Baton Pass, move, or swap."
hBP01-006,"小鳥遊キアラ
(Takanashi Kiara)",,Oshi holomem,OSR,Red,5,,"Oshi Skill holo Power -2: Phoenix Tail
[1/Turn]Return 1 holomem from your archive to hand.

SP Oshi Skill holo Power -2: Rise from the Ashes
[1/Game]Usable if your red holomem is downed during your opponent's turn:You take -1 Life Damage. Then, choose 1 downed card, and return all of the stacked holomem including that holomem to hand.

[there is also a SEC version available, which is a signed version of the OUR]"
hBP01-007,"星街すいせい
(Hoshimachi Suisei)",,Oshi holomem,OSR,Blue,5,,"Oshi Skill holo Power -2: Comet
[1/Turn]Usable when this Oshi holomem or your blue holomem deals Damage to your opponent's back holomem:Deal 50 Special Damage to that back holomem.

SP Oshi Skill holo Power -2: Shooting Star
[1/Game]Usable when your blue holomem deals Damage to your opponent's center holomem or collab holomem:Deal the same amount of Special Damage to 1 of your opponent's back holomem.

[there is also a SEC version available, which is a signed version of the OUR]"
hBP01-008,"こぼ・かなえる
(Kobo Kanaeru)",,Oshi holomem,OSR,Blue,6,,"Oshi Skill holo Power -1: Rain Shamanism
[1/Turn]Usable when your blue holomem's ability archives a cheer:Deal 20 Special Damage to 1 of your opponent's holomem.

SP Oshi Skill holo Power -3: Rainmaking
[1/Game]Send 1~5 cheers from your archive divided as you choose to your holomems with #ID."
hBP01-009,"天音かなた
(Amane Kanata)",,Debut holomem,C,White,90,#JP #Gen 4 #Singing,"Arts: KonKanata~
Cost: 1 white
Power: 40
This Arts can only target your opponent's center holomem.

Extra: You may include any number of this holomem in the deck"
hBP01-010,"天音かなた
(Amane Kanata)",,Debut holomem,U,White,60,#JP #Gen 4 #Singing,"Collab Effect: Angel on Adventure
During this turn, your center holomem gets Arts+10. Then, if your center holomem has #Gen 4, your center holomem gets Arts+20.

Arts: I'm off!
Cost: 1 any color
Power: 20"
hBP01-011,"天音かなた
(Amane Kanata)",,1st holomem,C,White,150,#JP #Gen 4 #Singing,"Arts: Kanataso Giving the Cold Shoulder
Cost: 1 white
Power: 20"
hBP01-012,"天音かなた
(Amane Kanata)",,1st holomem,U,White,120,#JP #Gen 4 #Singing,"Bloom Effect: Idol Kanataso
You may roll a dice once:If it is 3 or less, reveal 1 mascot from your deck, and attach it to your holomem. Then, shuffle the deck.

Arts: Give Me All Your Support!
Cost: 1 any color
Power: 40"
hBP01-013,"天音かなた
(Amane Kanata)",,1st holomem,R,White,100,#JP #Gen 4 #Singing,"Bloom Effect: Angel's Work
Deal 30 Special Damage to your opponent's center holomem. However, your opponent's Life does not reduce even if downed.

Arts: Angel Stage
Cost: 1 white, 1 any color
Power: 50"
hBP01-014,"天音かなた
(Amane Kanata)",,2nd holomem,RR,White,200,#JP #Gen 4 #Singing,"Collab Effect: Fallen Angel
Deal 50 Special Damage to your opponent's center holomem.

Arts: Wings Darker than Black
Cost: 3 white
Power: 100, +50 vs red
If your opponent's holomem is downed by this Arts, and the dealt Damage was greater than the remaining HP by 50 or more, your opponent gets Life-1."
hBP01-015,"七詩ムメイ
(Nanashi Mumei)",,Debut holomem,C,White,90,"#EN #Promise #Bird
#Painting","Arts: Oh,Hi
Cost: 1 white
Power: 10+
If you have used a Support Card this turn, this Arts gets +20.

Extra: You may include any number of this holomem in the deck"
hBP01-016,"七詩ムメイ
(Nanashi Mumei)",,Debut holomem,U,White,60,"#EN #Promise #Bird
#Painting","Collab Effect: White Canvas
If your center holomem has #Promise, draw 1 card from your deck.

Arts: Relax Time
Cost: 1 any color
Power: 10"
hBP01-017,"七詩ムメイ
(Nanashi Mumei)",,1st holomem,C,White,130,"#EN #Promise #Bird
#Painting","Arts: Going Out Together
Cost: 1 white
Power: 20

Arts: Coffee Break
Cost: 1 white, 1 any color
Power: 60"
hBP01-018,"七詩ムメイ
(Nanashi Mumei)",,1st holomem,C,White,120,"#EN #Promise #Bird
#Painting","Arts: Fragments of Memories
Cost: 1 white
Power: 20+
You may reveal the top card of your deck:If the revealed card has #Promise, this Arts gets +20. Then, add the revealed card to hand."
hBP01-019,"七詩ムメイ
(Nanashi Mumei)",,1st holomem,U,White,100,"#EN #Promise #Bird
#Painting","Bloom Effect: I Want to Sing and Dance with Everyone!
If Bloomed from Debut, reveal 1 [Debut holomem or 1st holomem] other than Buzz from your deck with #Promise, and add it to hand. Then, shuffle the deck.

Arts: Thank you for always supporting me!
Cost: 1 any color
Power: 30"
